일차,출발시간,소요시간,날짜,눈비
3,10,81,2019-02-06,FALSE
4,10,86,2019-02-07,FALSE
0,11,86,2019-02-01,FALSE
1,11,112,2019-02-02,FALSE
2,11,96,2019-02-05,FALSE
3,11,81,2019-02-06,FALSE
4,11,90,2019-02-07,FALSE
0,12,85,2019-02-01,FALSE
1,12,105,2019-02-02,FALSE
2,12,109,2019-02-05,FALSE
3,12,82,2019-02-06,FALSE
4,12,91,2019-02-07,FALSE
0,13,122,2019-02-01,FALSE
1,13,106,2019-02-02,FALSE
2,13,118,2019-02-05,FALSE
3,13,86,2019-02-06,FALSE
4,13,92,2019-02-07,FALSE
0,14,94,2019-02-01,FALSE
1,14,116,2019-02-02,FALSE
2,14,125,2019-02-05,FALSE
3,14,90,2019-02-06,FALSE
4,14,90,2019-02-07,FALSE
0,15,91,2019-02-01,FALSE
1,15,107,2019-02-02,FALSE
2,15,116,2019-02-05,FALSE
3,15,93,2019-02-06,FALSE
4,15,84,2019-02-07,FALSE
0,16,93,2019-02-01,FALSE
1,16,105,2019-02-02,FALSE
2,16,136,2019-02-05,FALSE
3,16,95,2019-02-06,FALSE
4,16,84,2019-02-07,FALSE
0,17,102,2019-02-01,FALSE
1,17,112,2019-02-02,FALSE
2,17,141,2019-02-05,FALSE
3,17,98,2019-02-06,FALSE
4,17,86,2019-02-07,FALSE
0,18,114,2019-02-01,FALSE
1,18,103,2019-02-02,FALSE
2,18,140,2019-02-05,FALSE
3,18,96,2019-02-06,FALSE
4,18,88,2019-02-07,FALSE
0,19,118,2019-02-01,TRUE
1,19,108,2019-02-02,FALSE
2,19,131,2019-02-05,FALSE
3,19,93,2019-02-06,FALSE
4,19,87,2019-02-07,FALSE
0,20,114,2019-02-01,TRUE
1,20,95,2019-02-02,FALSE
2,20,121,2019-02-05,FALSE
3,20,91,2019-02-06,FALSE
4,20,87,2019-02-07,FALSE
0,21,105,2019-02-01,TRUE
1,21,92,2019-02-02,FALSE
2,21,112,2019-02-05,FALSE
3,21,92,2019-02-06,FALSE
4,21,83,2019-02-07,FALSE
0,22,103,2019-02-01,TRUE
1,22,94,2019-02-02,FALSE
2,22,103,2019-02-05,FALSE
3,22,90,2019-02-06,FALSE
4,22,85,2019-02-07,FALSE
0,23,102,2019-02-01,TRUE
1,23,91,2019-02-02,FALSE
2,23,97,2019-02-05,FALSE
3,23,87,2019-02-06,FALSE
4,23,82,2019-02-07,FALSE
0,0,77,2020-01-23,FALSE
1,0,121,2020-01-24,FALSE
2,0,86,2020-01-25,FALSE
3,0,94,2020-01-26,FALSE
4,0,80,2020-01-27,FALSE
0,1,79,2020-01-23,FALSE
1,1,125,2020-01-24,FALSE
2,1,89,2020-01-25,FALSE
3,1,92,2020-01-26,FALSE
4,1,79,2020-01-27,FALSE
0,2,79,2020-01-23,FALSE
1,2,139,2020-01-24,FALSE
2,2,89,2020-01-25,FALSE
3,2,88,2020-01-26,FALSE
4,2,99,2020-01-27,FALSE
0,3,87,2020-01-23,FALSE
1,3,143,2020-01-24,FALSE
2,3,93,2020-01-25,FALSE
3,3,91,2020-01-26,FALSE
4,3,84,2020-01-27,FALSE
0,4,87,2020-01-23,FALSE
1,4,131,2020-01-24,FALSE
2,4,86,2020-01-25,FALSE
3,4,88,2020-01-26,FALSE
4,4,82,2020-01-27,FALSE
0,5,89,2020-01-23,FALSE
1,5,147,2020-01-24,FALSE
2,5,89,2020-01-25,FALSE
3,5,82,2020-01-26,FALSE
4,5,83,2020-01-27,FALSE
0,6,89,2020-01-23,FALSE
1,6,153,2020-01-24,FALSE
2,6,91,2020-01-25,FALSE
3,6,82,2020-01-26,FALSE
4,6,78,2020-01-27,FALSE
0,7,88,2020-01-23,FALSE
1,7,155,2020-01-24,FALSE
2,7,93,2020-01-25,FALSE
3,7,89,2020-01-26,FALSE
4,7,80,2020-01-27,FALSE
0,8,93,2020-01-23,FALSE
1,8,150,2020-01-24,FALSE
2,8,99,2020-01-25,FALSE
3,8,83,2020-01-26,FALSE
4,8,84,2020-01-27,FALSE
0,9,97,2020-01-23,FALSE
1,9,159,2020-01-24,FALSE
2,9,94,2020-01-25,FALSE
3,9,87,2020-01-26,FALSE
4,9,79,2020-01-27,FALSE
0,10,93,2020-01-23,FALSE
1,10,177,2020-01-24,FALSE
2,10,94,2020-01-25,FALSE
3,10,85,2020-01-26,FALSE
4,10,81,2020-01-27,FALSE
0,11,94,2020-01-23,FALSE
1,11,188,2020-01-24,FALSE
2,11,102,2020-01-25,FALSE
3,11,83,2020-01-26,FALSE
4,11,84,2020-01-27,FALSE
0,12,104,2020-01-23,FALSE
1,12,194,2020-01-24,FALSE
2,12,112,2020-01-25,FALSE
3,12,89,2020-01-26,FALSE
4,12,85,2020-01-27,FALSE
0,13,106,2020-01-23,FALSE
1,13,196,2020-01-24,FALSE
2,13,111,2020-01-25,FALSE
3,13,93,2020-01-26,FALSE
4,13,86,2020-01-27,FALSE
0,14,115,2020-01-23,FALSE
1,14,172,2020-01-24,FALSE
2,14,127,2020-01-25,FALSE
3,14,96,2020-01-26,FALSE
4,14,87,2020-01-27,FALSE
0,15,121,2020-01-23,FALSE
1,15,170,2020-01-24,FALSE
2,15,127,2020-01-25,FALSE
3,15,98,2020-01-26,FALSE
4,15,91,2020-01-27,FALSE
0,16,129,2020-01-23,FALSE
1,16,153,2020-01-24,FALSE
2,16,145,2020-01-25,FALSE
3,16,99,2020-01-26,FALSE
4,16,86,2020-01-27,FALSE
0,17,149,2020-01-23,FALSE
1,17,142,2020-01-24,FALSE
2,17,139,2020-01-25,FALSE
3,17,100,2020-01-26,FALSE
4,17,92,2020-01-27,FALSE
0,18,153,2020-01-23,FALSE
1,18,130,2020-01-24,FALSE
2,18,152,2020-01-25,FALSE
3,18,98,2020-01-26,FALSE
4,18,94,2020-01-27,FALSE
0,19,162,2020-01-23,FALSE
1,19,117,2020-01-24,FALSE
2,19,147,2020-01-25,FALSE
3,19,97,2020-01-26,FALSE
4,19,89,2020-01-27,FALSE
0,20,180,2020-01-23,FALSE
1,20,108,2020-01-24,FALSE
2,20,132,2020-01-25,FALSE
3,20,93,2020-01-26,FALSE
4,20,94,2020-01-27,FALSE
0,21,195,2020-01-23,FALSE
1,21,102,2020-01-24,FALSE
2,21,118,2020-01-25,FALSE
3,21,89,2020-01-26,FALSE
4,21,95,2020-01-27,FALSE
0,22,167,2020-01-23,FALSE
1,22,97,2020-01-24,FALSE
2,22,108,2020-01-25,FALSE
3,22,87,2020-01-26,FALSE
4,22,97,2020-01-27,FALSE
0,23,179,2020-01-23,FALSE
1,23,90,2020-01-24,FALSE
2,23,102,2020-01-25,FALSE
3,23,89,2020-01-26,FALSE
4,23,94,2020-01-27,FALSE
